#SSD VISUALIZATION MODE TRACE: 2 PLANES X 32 BLOCKS X 32 PAGES
#Output from DiskSim execution of ReusableSSD
#Input is a version of the prn_0 trace from MSR Cambridge,
# accessing only 1200 logical pages (to fit in a small screen demo).
#Resources
# DiskSim and SSD extension: 
#  http://www.pdl.cmu.edu/DiskSim/
# MSR Cambridge traces:
#  http://iotta.snia.org/tracetypes/3
# ReusableSSD paper: 
#  https://www.usenix.org/conference/fast15/technical-sessions/presentation/yadgar
S <0,0> Active1 
W 1 861 <1,13,24> 
W 1 862 <1,13,25> 
W 1 863 <1,13,26> 
W 1 864 <1,13,27> 
W 1 865 <1,13,28> 
W 1 866 <1,13,29> 
W 1 867 <1,13,30> 
S <1,13> Used 
S <0,14> Active1 
W 1 868 <0,14,0> 
W 1 869 <0,14,1> 
W 1 870 <0,14,2> 
W 1 871 <0,14,3> 
W 1 872 <0,14,4> 
W 1 873 <0,14,5> 
W 1 874 <0,14,6> 
W 1 875 <0,14,7> 
W 1 876 <0,14,8> 
W 1 877 <0,14,9> 
W 1 878 <0,14,10> 
W 1 879 <0,14,11> 
W 1 880 <0,14,12> 
W 1 881 <0,14,13> 
W 1 882 <0,14,14> 
W 1 883 <0,14,15> 
W 1 884 <0,14,16> 
W 1 885 <0,14,17> 
W 1 886 <0,14,18> 
W 1 887 <0,14,19> 
W 1 888 <0,14,20> 
W 1 889 <0,14,21> 
W 1 890 <0,14,22> 
W 1 891 <0,14,23> 
W 1 892 <0,14,24> 
W 1 893 <0,14,25> 
W 1 894 <0,14,26> 
W 1 895 <0,14,27> 
W 1 896 <0,14,28> 
W 1 897 <0,14,29> 
W 1 898 <0,14,30> 
S <0,14> Used 
S <1,14> Active1 
W 1 899 <1,14,0> 
W 1 900 <1,14,1> 
W 1 901 <1,14,2> 
W 1 902 <1,14,3> 
W 1 903 <1,14,4> 
W 1 904 <1,14,5> 
W 1 905 <1,14,6> 
W 1 906 <1,14,7> 
W 1 907 <1,14,8> 
W 1 908 <1,14,9> 
W 1 909 <1,14,10> 
W 1 910 <1,14,11> 
W 1 911 <1,14,12> 
W 1 912 <1,14,13> 
W 1 913 <1,14,14> 
W 1 914 <1,14,15> 
W 1 915 <1,14,16> 
W 1 916 <1,14,17> 
W 1 917 <1,14,18> 
W 1 918 <1,14,19> 
W 1 919 <1,14,20> 
W 1 920 <1,14,21> 
W 1 921 <1,14,22> 
W 1 922 <1,14,23> 
W 1 923 <1,14,24> 
W 1 924 <1,14,25> 
W 1 925 <1,14,26> 
W 1 926 <1,14,27> 
W 1 927 <1,14,28> 
W 1 928 <1,14,29> 
W 1 929 <1,14,30> 
S <1,14> Used 
S <0,15> Active1 
W 1 930 <0,15,0> 
W 1 931 <0,15,1> 
W 1 932 <0,15,2> 
W 1 933 <0,15,3> 
W 1 934 <0,15,4> 
W 1 935 <0,15,5> 
W 1 936 <0,15,6> 
W 1 937 <0,15,7> 
W 1 938 <0,15,8> 
W 1 939 <0,15,9> 
W 1 940 <0,15,10> 
W 1 941 <0,15,11> 
W 1 942 <0,15,12> 
W 1 943 <0,15,13> 
W 1 944 <0,15,14> 
W 1 945 <0,15,15> 
W 1 946 <0,15,16> 
W 1 947 <0,15,17> 
W 1 948 <0,15,18> 
W 1 949 <0,15,19> 
W 1 950 <0,15,20> 
W 1 951 <0,15,21> 
W 1 952 <0,15,22> 
W 1 953 <0,15,23> 
W 1 954 <0,15,24> 
W 1 955 <0,15,25> 
W 1 956 <0,15,26> 
W 1 957 <0,15,27> 
W 1 958 <0,15,28> 
W 1 959 <0,15,29> 
W 1 960 <0,15,30> 
S <0,15> Used 
S <1,15> Active1 
W 1 961 <1,15,0> 
W 1 962 <1,15,1> 
W 1 963 <1,15,2> 
W 1 964 <1,15,3> 
W 1 965 <1,15,4> 
W 1 966 <1,15,5> 
W 1 967 <1,15,6> 
W 1 968 <1,15,7> 
W 1 969 <1,15,8> 
W 1 970 <1,15,9> 
W 1 971 <1,15,10> 
W 1 972 <1,15,11> 
W 1 973 <1,15,12> 
W 1 974 <1,15,13> 
W 1 975 <1,15,14> 
W 1 976 <1,15,15> 
W 1 977 <1,15,16> 
W 1 978 <1,15,17> 
W 1 979 <1,15,18> 
W 1 980 <1,15,19> 
W 1 981 <1,15,20> 
W 1 982 <1,15,21> 
W 1 983 <1,15,22> 
W 1 984 <1,15,23> 
W 1 985 <1,15,24> 
W 1 986 <1,15,25> 
W 1 987 <1,15,26> 
W 1 988 <1,15,27> 
W 1 989 <1,15,28> 
W 1 990 <1,15,29> 
W 1 991 <1,15,30> 
S <1,15> Used 
S <0,16> Active1 
W 1 992 <0,16,0> 
W 1 993 <0,16,1> 
W 1 994 <0,16,2> 
W 1 995 <0,16,3> 
W 1 996 <0,16,4> 
W 1 997 <0,16,5> 
W 1 998 <0,16,6> 
W 1 999 <0,16,7> 
W 1 1000 <0,16,8> 
W 1 1001 <0,16,9> 
W 1 1002 <0,16,10> 
W 1 1003 <0,16,11> 
W 1 1004 <0,16,12> 
W 1 1005 <0,16,13> 
W 1 1006 <0,16,14> 
W 1 1007 <0,16,15> 
W 1 1008 <0,16,16> 
W 1 1009 <0,16,17> 
W 1 1010 <0,16,18> 
W 1 1011 <0,16,19> 
W 1 1012 <0,16,20> 
W 1 1013 <0,16,21> 
W 1 1014 <0,16,22> 
W 1 1015 <0,16,23> 
W 1 1016 <0,16,24> 
W 1 1017 <0,16,25> 
W 1 1018 <0,16,26> 
W 1 1019 <0,16,27> 
W 1 1020 <0,16,28> 
W 1 1021 <0,16,29> 
W 1 1022 <0,16,30> 
S <0,16> Used 
S <1,16> Active1 
W 1 1023 <1,16,0> 
W 1 1024 <1,16,1> 
W 1 1025 <1,16,2> 
W 1 1026 <1,16,3> 
W 1 1027 <1,16,4> 
W 1 1028 <1,16,5> 
W 1 1029 <1,16,6> 
W 1 1030 <1,16,7> 
W 1 1031 <1,16,8> 
W 1 1032 <1,16,9> 
W 1 1033 <1,16,10> 
W 1 1034 <1,16,11> 
W 1 1035 <1,16,12> 
W 1 1036 <1,16,13> 
W 1 1037 <1,16,14> 
W 1 1038 <1,16,15> 
W 1 1039 <1,16,16> 
W 1 1040 <1,16,17> 
W 1 1041 <1,16,18> 
W 1 1042 <1,16,19> 
W 1 1043 <1,16,20> 
W 1 1044 <1,16,21> 
W 1 1045 <1,16,22> 
W 1 1046 <1,16,23> 
W 1 1047 <1,16,24> 
W 1 1048 <1,16,25> 
W 1 1049 <1,16,26> 
W 1 1050 <1,16,27> 
W 1 1051 <1,16,28> 
W 1 1052 <1,16,29> 
W 1 1053 <1,16,30> 
S <1,16> Used 
S <0,17> Active1 
W 1 1054 <0,17,0> 
W 1 1055 <0,17,1> 
W 1 1056 <0,17,2> 
W 1 1057 <0,17,3> 
W 1 1058 <0,17,4> 
W 1 1059 <0,17,5> 
W 1 1060 <0,17,6> 
W 1 1061 <0,17,7> 
W 1 1062 <0,17,8> 
W 1 1063 <0,17,9> 
W 1 1064 <0,17,10> 
W 1 1065 <0,17,11> 
W 1 1066 <0,17,12> 
W 1 1067 <0,17,13> 
W 1 1068 <0,17,14> 
W 1 1069 <0,17,15> 
W 1 1070 <0,17,16> 
W 1 1071 <0,17,17> 
W 1 1072 <0,17,18> 
W 1 1073 <0,17,19> 
W 1 1074 <0,17,20> 
W 1 1075 <0,17,21> 
W 1 1076 <0,17,22> 
W 1 1077 <0,17,23> 
W 1 1078 <0,17,24> 
W 1 1079 <0,17,25> 
W 1 1080 <0,17,26> 
W 1 1081 <0,17,27> 
W 1 1082 <0,17,28> 
W 1 1083 <0,17,29> 
W 1 1084 <0,17,30> 
S <0,17> Used 
S <1,17> Active1 
W 1 1085 <1,17,0> 
W 1 1086 <1,17,1> 
W 1 1087 <1,17,2> 
W 1 1088 <1,17,3> 
W 1 1089 <1,17,4> 
W 1 1090 <1,17,5> 
W 1 1091 <1,17,6> 
W 1 1092 <1,17,7> 
W 1 1093 <1,17,8> 
W 1 1094 <1,17,9> 
W 1 1095 <1,17,10> 
W 1 1096 <1,17,11> 
W 1 1097 <1,17,12> 
W 1 1098 <1,17,13> 
W 1 1099 <1,17,14> 
W 1 1100 <1,17,15> 
W 1 1101 <1,17,16> 
W 1 1102 <1,17,17> 
W 1 1103 <1,17,18> 
W 1 1104 <1,17,19> 
W 1 1105 <1,17,20> 
W 1 1106 <1,17,21> 
W 1 1107 <1,17,22> 
W 1 1108 <1,17,23> 
W 1 1109 <1,17,24> 
W 1 1110 <1,17,25> 
W 1 1111 <1,17,26> 
W 1 1112 <1,17,27> 
W 1 1113 <1,17,28> 
W 1 1114 <1,17,29> 
W 1 1115 <1,17,30> 
S <1,17> Used 
S <0,18> Active1 
W 1 1116 <0,18,0> 
W 1 1117 <0,18,1> 
W 1 1118 <0,18,2> 
W 1 1119 <0,18,3> 
W 1 1120 <0,18,4> 
W 1 1121 <0,18,5> 
W 1 1122 <0,18,6> 
W 1 1123 <0,18,7> 
W 1 1124 <0,18,8> 
W 1 1125 <0,18,9> 
W 1 1126 <0,18,10> 
W 1 1127 <0,18,11> 
W 1 1128 <0,18,12> 
W 1 1129 <0,18,13> 
W 1 1130 <0,18,14> 
W 1 1131 <0,18,15> 
W 1 1132 <0,18,16> 
W 1 1133 <0,18,17> 
W 1 1134 <0,18,18> 
W 1 1135 <0,18,19> 
W 1 1136 <0,18,20> 
W 1 1137 <0,18,21> 
W 1 1138 <0,18,22> 
W 1 1139 <0,18,23> 
W 1 1140 <0,18,24> 
W 1 1141 <0,18,25> 
W 1 1142 <0,18,26> 
W 1 1143 <0,18,27> 
W 1 1144 <0,18,28> 
W 1 1145 <0,18,29> 
W 1 1146 <0,18,30> 
S <0,18> Used 
S <1,18> Active1 
W 1 1147 <1,18,0> 
W 1 1148 <1,18,1> 
W 1 1149 <1,18,2> 
W 1 1150 <1,18,3> 
W 1 1151 <1,18,4> 
W 1 1152 <1,18,5> 
W 1 1153 <1,18,6> 
W 1 1154 <1,18,7> 
W 1 1155 <1,18,8> 
W 1 1156 <1,18,9> 
W 1 1157 <1,18,10> 
W 1 1158 <1,18,11> 
W 1 1159 <1,18,12> 
W 1 1160 <1,18,13> 
W 1 1161 <1,18,14> 
W 1 1162 <1,18,15> 
W 1 1163 <1,18,16> 
W 1 1164 <1,18,17> 
W 1 1165 <1,18,18> 
W 1 1166 <1,18,19> 
W 1 1167 <1,18,20> 
W 1 1168 <1,18,21> 
W 1 1169 <1,18,22> 
W 1 1170 <1,18,23> 
W 1 1171 <1,18,24> 
W 1 1172 <1,18,25> 
W 1 1173 <1,18,26> 
W 1 1174 <1,18,27> 
W 1 1175 <1,18,28> 
W 1 1176 <1,18,29> 
W 1 1177 <1,18,30> 
S <1,18> Used 
S <0,19> Active1 
W 1 1178 <0,19,0> 
W 1 1179 <0,19,1> 
W 1 1180 <0,19,2> 
W 1 1181 <0,19,3> 
W 1 1182 <0,19,4> 
W 1 1183 <0,19,5> 
W 1 1184 <0,19,6> 
W 1 1185 <0,19,7> 
W 1 1186 <0,19,8> 
W 1 1187 <0,19,9> 
W 1 1188 <0,19,10> 
W 1 1189 <0,19,11> 
W 1 1190 <0,19,12> 
W 1 1191 <0,19,13> 
W 1 1192 <0,19,14> 
W 1 1193 <0,19,15> 
W 1 1194 <0,19,16> 
W 1 1195 <0,19,17> 
W 1 1196 <0,19,18> 
W 1 1197 <0,19,19> 
W 1 1198 <0,19,20> 
W 1 1199 <0,19,21> 
W 1 1200 <0,19,22> 
W 1 1201 <0,19,23> 
W 1 1202 <0,19,24> 
W 1 1203 <0,19,25> 
W 1 1204 <0,19,26> 
W 1 1205 <0,19,27> 
W 1 1206 <0,19,28> 
W 1 1207 <0,19,29> 
W 1 1208 <0,19,30> 
S <0,19> Used 
S <1,19> Active1 
W 1 1209 <1,19,0> 
W 1 1210 <1,19,1> 
W 1 1211 <1,19,2> 
W 1 1212 <1,19,3> 
W 1 1213 <1,19,4> 
W 1 1214 <1,19,5> 
W 1 1215 <1,19,6> 
W 1 1216 <1,19,7> 
W 1 1217 <1,19,8> 
W 1 1218 <1,19,9> 
W 1 1219 <1,19,10> 
W 1 1220 <1,19,11> 
W 1 1221 <1,19,12> 
W 1 1222 <1,19,13> 
W 1 1223 <1,19,14> 
W 1 1224 <1,19,15> 
W 1 1225 <1,19,16> 
W 1 1226 <1,19,17> 
W 1 1227 <1,19,18> 
W 1 1228 <1,19,19> 
W 1 1229 <1,19,20> 
W 1 1230 <1,19,21> 
W 1 1231 <1,19,22> 
W 1 1232 <1,19,23> 
W 1 1233 <1,19,24> 
W 1 1234 <1,19,25> 
W 1 1235 <1,19,26> 
W 1 1236 <1,19,27> 
W 1 1237 <1,19,28> 
W 1 1238 <1,19,29> 
W 1 1239 <1,19,30> 
S <1,19> Used 
S <0,20> Active1 
W 1 1240 <0,20,0> 
W 1 1241 <0,20,1> 
W 1 1242 <0,20,2> 
W 1 1243 <0,20,3> 
W 1 1244 <0,20,4> 
W 1 1245 <0,20,5> 
W 1 1246 <0,20,6> 
W 1 1247 <0,20,7> 
W 1 1248 <0,20,8> 
W 1 1249 <0,20,9> 
W 1 1250 <0,20,10> 
W 1 1251 <0,20,11> 
W 1 1252 <0,20,12> 
W 1 1253 <0,20,13> 
W 1 1254 <0,20,14> 
W 1 1255 <0,20,15> 
W 1 1256 <0,20,16> 
W 1 1257 <0,20,17> 
W 1 1258 <0,20,18> 
W 1 1259 <0,20,19> 
W 1 1260 <0,20,20> 
W 1 1261 <0,20,21> 
W 1 1262 <0,20,22> 
W 1 1263 <0,20,23> 
W 1 1264 <0,20,24> 
W 1 1265 <0,20,25> 
W 1 1266 <0,20,26> 
W 1 1267 <0,20,27> 
W 1 1268 <0,20,28> 
W 1 1269 <0,20,29> 
W 1 1270 <0,20,30> 
S <0,20> Used 
S <1,20> Active1 
W 1 1271 <1,20,0> 
W 1 1272 <1,20,1> 
W 1 1273 <1,20,2> 
W 1 1274 <1,20,3> 
W 1 1275 <1,20,4> 
W 1 1276 <1,20,5> 
W 1 1277 <1,20,6> 
W 1 1278 <1,20,7> 
W 1 1279 <1,20,8> 
W 1 1280 <1,20,9> 
W 1 1281 <1,20,10> 
W 1 1282 <1,20,11> 
W 1 1283 <1,20,12> 
W 1 1284 <1,20,13> 
W 1 1285 <1,20,14> 
W 1 1286 <1,20,15> 
W 1 1287 <1,20,16> 
W 1 1288 <1,20,17> 
W 1 1289 <1,20,18> 
W 1 1290 <1,20,19> 
W 1 1291 <1,20,20> 
W 1 1292 <1,20,21> 
W 1 1293 <1,20,22> 
W 1 1294 <1,20,23> 
W 1 1295 <1,20,24> 
W 1 1296 <1,20,25> 
W 1 1297 <1,20,26> 
W 1 1298 <1,20,27> 
W 1 1299 <1,20,28> 
W 1 1300 <1,20,29> 
W 1 1301 <1,20,30> 
S <1,20> Used 
S <0,21> Active1 
W 1 1302 <0,21,0> 
W 1 1303 <0,21,1> 
W 1 1304 <0,21,2> 
W 1 1305 <0,21,3> 
W 1 1306 <0,21,4> 
W 1 1307 <0,21,5> 
W 1 1308 <0,21,6> 
W 1 1309 <0,21,7> 
W 1 1310 <0,21,8> 
W 1 1311 <0,21,9> 
W 1 1312 <0,21,10> 
W 1 1313 <0,21,11> 
W 1 1314 <0,21,12> 
W 1 1315 <0,21,13> 
W 1 1316 <0,21,14> 
W 1 1317 <0,21,15> 
W 1 1318 <0,21,16> 
W 1 1319 <0,21,17> 
W 1 1320 <0,21,18> 
W 1 1321 <0,21,19> 
W 1 1322 <0,21,20> 
W 1 1323 <0,21,21> 
W 1 1324 <0,21,22> 
W 1 1325 <0,21,23> 
W 1 1326 <0,21,24> 
W 1 1327 <0,21,25> 
W 1 1328 <0,21,26> 
W 1 1329 <0,21,27> 
W 1 1330 <0,21,28> 
W 1 1331 <0,21,29> 
W 1 1332 <0,21,30> 
S <0,21> Used 
S <1,21> Active1 
W 1 1333 <1,21,0> 
W 1 1334 <1,21,1> 
W 1 1335 <1,21,2> 
W 1 1336 <1,21,3> 
W 1 1337 <1,21,4> 
W 1 1338 <1,21,5> 
W 1 1339 <1,21,6> 
W 1 1340 <1,21,7> 
W 1 1341 <1,21,8> 
W 1 1342 <1,21,9> 
W 1 1343 <1,21,10> 
W 1 1344 <1,21,11> 
W 1 1345 <1,21,12> 
W 1 1346 <1,21,13> 
W 1 1347 <1,21,14> 
W 1 1348 <1,21,15> 
W 1 1349 <1,21,16> 
W 1 1350 <1,21,17> 
W 1 1351 <1,21,18> 
W 1 1352 <1,21,19> 
W 1 1353 <1,21,20> 
W 1 1354 <1,21,21> 
W 1 1355 <1,21,22> 
W 1 1356 <1,21,23> 
W 1 1357 <1,21,24> 
W 1 1358 <1,21,25> 
W 1 1359 <1,21,26> 
W 1 1360 <1,21,27> 
W 1 1361 <1,21,28> 
W 1 1362 <1,21,29> 
W 1 1363 <1,21,30> 
S <1,21> Used 
S <0,22> Active1 
W 1 617 <0,22,0> 
S <1,22> Active1 
W 1 617 <1,22,0> 
W 1 896 <0,22,1> 
W 1 896 <1,22,1> 
W 1 896 <0,22,2> 
W 1 896 <1,22,2> 
W 1 617 <0,22,3> 
W 1 896 <1,22,3> 
W 1 896 <0,22,4> 
W 1 617 <1,22,4> 
W 1 896 <0,22,5> 
W 1 896 <1,22,5> 
W 1 71 <0,22,6> 
W 1 617 <0,22,7> 
W 1 896 <1,22,6> 
W 1 896 <0,22,8> 
W 1 617 <1,22,7> 
W 1 896 <0,22,9> 
W 1 896 <1,22,8> 
W 1 617 <0,22,10> 
W 1 617 <1,22,9> 
W 1 544 <0,22,11> 
W 1 896 <1,22,10> 
W 1 896 <0,22,12> 
W 1 896 <1,22,11> 
W 1 896 <0,22,13> 
W 1 544 <1,22,12> 
W 1 896 <0,22,14> 
W 1 896 <1,22,13> 
W 1 617 <0,22,15> 
W 1 617 <1,22,14> 
W 1 896 <0,22,16> 
W 1 896 <1,22,15> 
W 1 617 <0,22,17> 
W 1 617 <1,22,16> 
W 1 896 <0,22,18> 
W 1 896 <1,22,17> 
W 1 896 <0,22,19> 
W 1 896 <1,22,18> 
W 1 896 <0,22,20> 
W 1 896 <1,22,19> 
W 1 896 <0,22,21> 
W 1 896 <1,22,20> 
W 1 896 <0,22,22> 
W 1 896 <1,22,21> 
W 1 896 <0,22,23> 
W 1 896 <1,22,22> 
W 1 896 <0,22,24> 
W 1 896 <1,22,23> 
W 1 896 <0,22,25> 
W 1 896 <1,22,24> 
W 1 896 <0,22,26> 
W 1 896 <1,22,25> 
W 1 617 <0,22,27> 
W 1 617 <1,22,26> 
W 1 896 <0,22,28> 
W 1 896 <1,22,27> 
W 1 617 <0,22,29> 
W 1 617 <1,22,28> 
W 1 896 <0,22,30> 
S <0,22> Used 
W 1 896 <1,22,29> 
S <0,23> Active1 
W 1 544 <0,23,0> 
W 1 617 <1,22,30> 
S <1,22> Used 
W 1 617 <0,23,1> 
S <1,23> Active1 
W 1 896 <1,23,0> 
W 1 896 <1,23,1> 
W 1 4 <1,23,2> 
W 1 5 <1,23,3> 
W 1 4 <0,23,2> 
W 1 5 <0,23,3> 
W 1 544 <1,23,4> 
W 1 896 <0,23,4> 
W 1 896 <1,23,5> 
W 1 617 <0,23,5> 
W 1 617 <1,23,6> 
W 1 896 <0,23,6> 
W 1 896 <1,23,7> 
W 1 896 <0,23,7> 
W 1 896 <1,23,8> 
W 1 896 <0,23,8> 
W 1 896 <1,23,9> 
W 1 896 <0,23,9> 
W 1 896 <1,23,10> 
W 1 544 <0,23,10> 
W 1 896 <1,23,11> 
W 1 896 <0,23,11> 
W 1 896 <1,23,12> 
W 1 896 <0,23,12> 
W 1 896 <1,23,13> 
W 1 896 <0,23,13> 
W 1 896 <1,23,14> 
W 1 896 <0,23,14> 
W 1 896 <1,23,15> 
W 1 896 <0,23,15> 
W 1 544 <1,23,16> 
W 1 896 <0,23,16> 
W 1 896 <1,23,17> 
W 1 896 <0,23,17> 
W 1 896 <1,23,18> 
W 1 896 <0,23,18> 
W 1 896 <1,23,19> 
W 1 463 <0,23,19> 
W 1 463 <0,23,20> 
W 1 896 <0,23,21> 
W 1 896 <1,23,20> 
W 1 896 <0,23,22> 
W 1 896 <1,23,21> 
W 1 896 <0,23,23> 
W 1 896 <1,23,22> 
W 1 896 <0,23,24> 
W 1 896 <1,23,23> 
W 1 544 <0,23,25> 
W 1 896 <1,23,24> 
W 1 896 <0,23,26> 
W 1 544 <1,23,25> 
W 1 896 <0,23,27> 
W 1 896 <1,23,26> 
W 1 896 <0,23,28> 
W 1 896 <1,23,27> 
W 1 896 <0,23,29> 
W 1 896 <1,23,28> 
W 1 896 <0,23,30> 
S <0,23> Used 
W 1 896 <1,23,29> 
S <0,24> Active1 
W 1 896 <0,24,0> 
W 1 896 <1,23,30> 
S <1,23> Used 
W 1 896 <0,24,1> 
S <1,24> Active1 
W 1 896 <1,24,0> 
W 1 896 <0,24,2> 
W 1 896 <1,24,1> 
W 1 896 <0,24,3> 
W 1 896 <1,24,2> 
W 1 896 <0,24,4> 
W 1 896 <1,24,3> 
W 1 896 <0,24,5> 
W 1 896 <1,24,4> 
W 1 896 <0,24,6> 
W 1 896 <1,24,5> 
W 1 896 <0,24,7> 
W 1 896 <1,24,6> 
W 1 896 <0,24,8> 
W 1 896 <1,24,7> 
W 1 544 <0,24,9> 
W 1 896 <1,24,8> 
W 1 896 <0,24,10> 
W 1 896 <1,24,9> 
W 1 896 <0,24,11> 
W 1 896 <1,24,10> 
W 1 896 <0,24,12> 
W 1 896 <1,24,11> 
W 1 896 <0,24,13> 
W 1 896 <1,24,12> 
W 1 896 <0,24,14> 
W 1 896 <1,24,13> 
W 1 896 <0,24,15> 
W 1 896 <1,24,14> 
W 1 896 <0,24,16> 
W 1 896 <1,24,15> 
W 1 896 <0,24,17> 
W 1 896 <1,24,16> 
W 1 896 <0,24,18> 
W 1 896 <1,24,17> 
W 1 896 <0,24,19> 
W 1 896 <1,24,18> 
W 1 896 <0,24,20> 
W 1 544 <1,24,19> 
W 1 896 <0,24,21> 
W 1 896 <1,24,20> 
W 1 544 <0,24,22> 
W 1 544 <1,24,21> 
W 1 544 <0,24,23> 
W 1 896 <1,24,22> 
W 1 896 <0,24,24> 
W 1 896 <1,24,23> 
W 1 896 <0,24,25> 
W 1 896 <1,24,24> 
W 1 896 <0,24,26> 
W 1 896 <1,24,25> 
W 1 896 <0,24,27> 
W 1 896 <1,24,26> 
W 1 896 <0,24,28> 
W 1 420 <1,24,27> 
W 1 544 <1,24,28> 
W 1 896 <0,24,29> 
W 1 896 <1,24,29> 
W 1 896 <0,24,30> 
S <0,24> Used 
W 1 896 <1,24,30> 
S <1,24> Used 
S <0,25> Active1 
W 1 896 <0,25,0> 
S <1,25> Active1 
W 1 896 <1,25,0> 
W 1 896 <0,25,1> 
W 1 896 <1,25,1> 
W 1 896 <0,25,2> 
W 1 896 <1,25,2> 
W 1 896 <0,25,3> 
W 1 896 <1,25,3> 
W 1 896 <0,25,4> 
W 1 896 <1,25,4> 
W 1 896 <0,25,5> 
W 1 896 <1,25,5> 
W 1 544 <0,25,6> 
W 1 896 <1,25,6> 
W 1 896 <0,25,7> 
W 1 896 <1,25,7> 
W 1 896 <0,25,8> 
W 1 544 <1,25,8> 
W 1 896 <0,25,9> 
W 1 896 <1,25,9> 
W 1 896 <0,25,10> 
W 1 896 <1,25,10> 
W 1 896 <0,25,11> 
W 1 896 <1,25,11> 
W 1 896 <0,25,12> 
W 1 896 <1,25,12> 
W 1 896 <0,25,13> 
W 1 896 <1,25,13> 
W 1 896 <0,25,14> 
W 1 896 <1,25,14> 
W 1 896 <0,25,15> 
W 1 896 <1,25,15> 
W 1 896 <0,25,16> 
W 1 896 <1,25,16> 
W 1 896 <0,25,17> 
W 1 896 <1,25,17> 
W 1 896 <0,25,18> 
W 1 896 <1,25,18> 
W 1 896 <0,25,19> 
W 1 896 <1,25,19> 
W 1 896 <0,25,20> 
W 1 896 <1,25,20> 
W 1 896 <0,25,21> 
W 1 896 <1,25,21> 
W 1 544 <0,25,22> 
W 1 896 <1,25,22> 
W 1 896 <0,25,23> 
W 1 896 <1,25,23> 
W 1 896 <0,25,24> 
W 1 896 <1,25,24> 
W 1 896 <0,25,25> 
W 1 896 <1,25,25> 
W 1 896 <0,25,26> 
W 1 892 <1,25,26> 
W 1 896 <0,25,27> 
W 1 896 <1,25,27> 
W 1 544 <0,25,28> 
W 1 896 <0,25,29> 
W 1 896 <1,25,28> 
W 1 896 <0,25,30> 
S <0,25> Used 
W 1 896 <1,25,29> 
S <0,26> Active1 
W 1 896 <0,26,0> 
W 1 896 <1,25,30> 
S <1,25> Used 
W 1 896 <0,26,1> 
S <1,26> Active1 
W 1 896 <1,26,0> 
W 1 896 <0,26,2> 
W 1 896 <1,26,1> 
W 1 896 <0,26,3> 
W 1 896 <1,26,2> 
W 1 544 <0,26,4> 
W 1 896 <0,26,5> 
W 1 896 <1,26,3> 
W 1 896 <0,26,6> 
W 1 896 <1,26,4> 
W 1 896 <0,26,7> 
W 1 896 <1,26,5> 
W 1 896 <0,26,8> 
W 1 896 <1,26,6> 
W 1 896 <0,26,9> 
W 1 896 <1,26,7> 
W 1 896 <0,26,10> 
W 1 896 <1,26,8> 
W 1 544 <0,26,11> 
W 1 896 <0,26,12> 
W 1 896 <1,26,9> 
W 1 896 <0,26,13> 
W 1 896 <1,26,10> 
W 1 544 <0,26,14> 
W 1 896 <0,26,15> 
W 1 896 <1,26,11> 
W 1 896 <0,26,16> 
W 1 896 <1,26,12> 
W 1 617 <0,26,17> 
W 1 617 <1,26,13> 
W 1 617 <0,26,18> 
W 1 617 <1,26,14> 
W 1 617 <0,26,19> 
W 1 617 <1,26,15> 
W 1 896 <0,26,20> 
W 1 896 <1,26,16> 
W 1 896 <0,26,21> 
W 1 896 <1,26,17> 
W 1 896 <0,26,22> 
W 1 896 <1,26,18> 
W 1 896 <0,26,23> 
W 1 896 <1,26,19> 
W 1 896 <0,26,24> 
W 1 896 <1,26,20> 
W 1 896 <0,26,25> 
W 1 896 <1,26,21> 
W 1 617 <0,26,26> 
W 1 896 <1,26,22> 
W 1 896 <0,26,27> 
W 1 896 <1,26,23> 
W 1 896 <0,26,28> 
W 1 617 <1,26,24> 
W 1 617 <0,26,29> 
W 1 896 <1,26,25> 
W 1 896 <0,26,30> 
S <0,26> Used 
W 1 617 <1,26,26> 
S <0,27> Active1 
W 1 617 <0,27,0> 
W 1 896 <1,26,27> 
W 1 896 <0,27,1> 
W 1 896 <1,26,28> 
W 1 896 <0,27,2> 
W 1 544 <1,26,29> 
W 1 544 <0,27,3> 
W 1 896 <1,26,30> 
S <1,26> Used 
W 1 896 <0,27,4> 
S <1,27> Active1 
W 1 896 <1,27,0> 
W 1 896 <0,27,5> 
W 1 896 <1,27,1> 
W 1 896 <0,27,6> 
W 1 896 <1,27,2> 
W 1 896 <0,27,7> 
W 1 896 <1,27,3> 
W 1 896 <0,27,8> 
W 1 544 <1,27,4> 
W 1 896 <0,27,9> 
W 1 896 <1,27,5> 
W 1 896 <0,27,10> 
W 1 896 <1,27,6> 
W 1 896 <0,27,11> 
W 1 896 <1,27,7> 
W 1 896 <0,27,12> 
W 1 896 <1,27,8> 
W 1 896 <0,27,13> 
W 1 896 <1,27,9> 
W 1 896 <0,27,14> 
W 1 896 <1,27,10> 
W 1 544 <0,27,15> 
W 1 896 <1,27,11> 
W 1 896 <0,27,16> 
W 1 896 <1,27,12> 
W 1 896 <0,27,17> 
W 1 896 <1,27,13> 
W 1 896 <0,27,18> 
W 1 896 <1,27,14> 
W 1 896 <0,27,19> 
W 1 896 <1,27,15> 
W 1 896 <0,27,20> 
W 1 896 <1,27,16> 
W 1 896 <0,27,21> 
W 1 896 <1,27,17> 
