#SSD VISUALIZATION MODE TRACE: 2 PLANES X 32 BLOCKS X 32 PAGES
#Output from DiskSim execution of ReusableSSD
#Input is a Zipf workload with alpha=1, accessing 1200 logical pages.
#Resources
# DiskSim and SSD extension: 
#  http://www.pdl.cmu.edu/DiskSim/
# Zipf workload generator in C:
#  http://www.csee.usf.edu/~christen/tools/genzipf.c
# ReusableSSD paper: 
#  https://www.usenix.org/conference/fast15/technical-sessions/presentation/yadgar
S <0,0> Active1 
W 1 188 <0,3,2> 
W 1 189 <0,3,3> 
W 1 190 <0,3,4> 
W 1 191 <0,3,5> 
W 1 192 <0,3,6> 
W 1 193 <0,3,7> 
W 1 194 <0,3,8> 
W 1 195 <0,3,9> 
W 1 196 <0,3,10> 
W 1 197 <0,3,11> 
W 1 198 <0,3,12> 
W 1 199 <0,3,13> 
W 1 200 <0,3,14> 
W 1 201 <0,3,15> 
W 1 202 <0,3,16> 
W 1 203 <0,3,17> 
W 1 204 <0,3,18> 
W 1 205 <0,3,19> 
W 1 206 <0,3,20> 
W 1 207 <0,3,21> 
W 1 208 <0,3,22> 
W 1 209 <0,3,23> 
W 1 210 <0,3,24> 
W 1 211 <0,3,25> 
W 1 212 <0,3,26> 
W 1 213 <0,3,27> 
W 1 214 <0,3,28> 
W 1 215 <0,3,29> 
W 1 216 <0,3,30> 
S <0,3> Used 
S <1,3> Active1 
W 1 217 <1,3,0> 
W 1 218 <1,3,1> 
W 1 219 <1,3,2> 
W 1 220 <1,3,3> 
W 1 221 <1,3,4> 
W 1 222 <1,3,5> 
W 1 223 <1,3,6> 
W 1 224 <1,3,7> 
W 1 225 <1,3,8> 
W 1 226 <1,3,9> 
W 1 227 <1,3,10> 
W 1 228 <1,3,11> 
W 1 229 <1,3,12> 
W 1 230 <1,3,13> 
W 1 231 <1,3,14> 
W 1 232 <1,3,15> 
W 1 233 <1,3,16> 
W 1 234 <1,3,17> 
W 1 235 <1,3,18> 
W 1 236 <1,3,19> 
W 1 237 <1,3,20> 
W 1 238 <1,3,21> 
W 1 239 <1,3,22> 
W 1 240 <1,3,23> 
W 1 241 <1,3,24> 
W 1 242 <1,3,25> 
W 1 243 <1,3,26> 
W 1 244 <1,3,27> 
W 1 245 <1,3,28> 
W 1 246 <1,3,29> 
W 1 247 <1,3,30> 
S <1,3> Used 
S <0,4> Active1 
W 1 248 <0,4,0> 
W 1 249 <0,4,1> 
W 1 250 <0,4,2> 
W 1 251 <0,4,3> 
W 1 252 <0,4,4> 
W 1 253 <0,4,5> 
W 1 254 <0,4,6> 
W 1 255 <0,4,7> 
W 1 256 <0,4,8> 
W 1 257 <0,4,9> 
W 1 258 <0,4,10> 
W 1 259 <0,4,11> 
W 1 260 <0,4,12> 
W 1 261 <0,4,13> 
W 1 262 <0,4,14> 
W 1 263 <0,4,15> 
W 1 264 <0,4,16> 
W 1 265 <0,4,17> 
W 1 266 <0,4,18> 
W 1 267 <0,4,19> 
W 1 268 <0,4,20> 
W 1 269 <0,4,21> 
W 1 270 <0,4,22> 
W 1 271 <0,4,23> 
W 1 272 <0,4,24> 
W 1 273 <0,4,25> 
W 1 274 <0,4,26> 
W 1 275 <0,4,27> 
W 1 276 <0,4,28> 
W 1 277 <0,4,29> 
W 1 278 <0,4,30> 
S <0,4> Used 
S <1,4> Active1 
W 1 279 <1,4,0> 
W 1 280 <1,4,1> 
W 1 281 <1,4,2> 
W 1 282 <1,4,3> 
W 1 283 <1,4,4> 
W 1 284 <1,4,5> 
W 1 285 <1,4,6> 
W 1 286 <1,4,7> 
W 1 287 <1,4,8> 
W 1 288 <1,4,9> 
W 1 289 <1,4,10> 
W 1 290 <1,4,11> 
W 1 291 <1,4,12> 
W 1 292 <1,4,13> 
W 1 293 <1,4,14> 
W 1 294 <1,4,15> 
W 1 295 <1,4,16> 
W 1 296 <1,4,17> 
W 1 297 <1,4,18> 
W 1 298 <1,4,19> 
W 1 299 <1,4,20> 
W 1 300 <1,4,21> 
W 1 301 <1,4,22> 
W 1 302 <1,4,23> 
W 1 303 <1,4,24> 
W 1 304 <1,4,25> 
W 1 305 <1,4,26> 
W 1 306 <1,4,27> 
W 1 307 <1,4,28> 
W 1 308 <1,4,29> 
W 1 309 <1,4,30> 
S <1,4> Used 
S <0,5> Active1 
W 1 310 <0,5,0> 
W 1 311 <0,5,1> 
W 1 312 <0,5,2> 
W 1 313 <0,5,3> 
W 1 314 <0,5,4> 
W 1 315 <0,5,5> 
W 1 316 <0,5,6> 
W 1 317 <0,5,7> 
W 1 318 <0,5,8> 
W 1 319 <0,5,9> 
W 1 320 <0,5,10> 
W 1 321 <0,5,11> 
W 1 322 <0,5,12> 
W 1 323 <0,5,13> 
W 1 324 <0,5,14> 
W 1 325 <0,5,15> 
