#SSD VISUALIZATION MODE TRACE: 2 PLANES X 32 BLOCKS X 32 PAGES
#Output from DiskSim execution of ReusableSSD
#Input is a Zipf workload with alpha=1, accessing 1200 logical pages.
#Resources
# DiskSim and SSD extension: 
#  http://www.pdl.cmu.edu/DiskSim/
# Zipf workload generator in C:
#  http://www.csee.usf.edu/~christen/tools/genzipf.c
# ReusableSSD paper: 
#  https://www.usenix.org/conference/fast15/technical-sessions/presentation/yadgar
S <0,0> Active1 
M 1 797 <1,25,15> 
M 1 798 <1,25,16> 
M 1 801 <1,25,17> 
M 1 804 <1,25,18> 
M 1 805 <1,25,19> 
M 1 643 <1,25,20> 
M 1 248 <1,25,21> 
E <1,22> 
G <1,22> 
W 1 2 <1,25,22> 
W 1 0 <1,25,23> 
W 1 565 <0,14,27> 
W 1 380 <0,14,28> 
W 1 60 <1,25,24> 
W 1 0 <1,25,25> 
W 1 320 <1,25,26> 
W 1 2 <1,25,27> 
W 1 0 <1,25,28> 
W 1 390 <1,25,29> 
W 1 517 <0,14,29> 
W 1 76 <1,25,30> 
S <1,25> Used 
W 1 76 <0,14,30> 
S <0,14> Used 
S <1,26> Active1 
W 1 0 <1,26,0> 
B <1,1> 
M 1 895 <1,26,1> 
M 1 277 <1,26,2> 
M 1 548 <1,26,3> 
M 1 638 <1,26,4> 
M 1 178 <1,26,5> 
M 1 571 <1,26,6> 
M 1 346 <1,26,7> 
M 1 703 <1,26,8> 
M 1 597 <1,26,9> 
M 1 803 <1,26,10> 
M 1 175 <1,26,11> 
M 1 170 <1,26,12> 
M 1 32 <1,26,13> 
M 1 306 <1,26,14> 
M 1 435 <1,26,15> 
M 1 183 <1,26,16> 
M 1 1060 <1,26,17> 
M 1 1039 <1,26,18> 
M 1 769 <1,26,19> 
M 1 561 <1,26,20> 
M 1 572 <1,26,21> 
E <1,1> 
G <1,1> 
W 1 428 <1,26,22> 
W 1 2 <1,26,23> 
W 1 0 <1,26,24> 
W 1 3 <1,26,25> 
W 1 413 <1,26,26> 
W 1 17 <1,26,27> 
S <0,23> Active1 
W 1 29 <0,23,0> 
B <0,5> 
M 1 372 <0,23,1> 
M 1 373 <0,23,2> 
M 1 374 <0,23,3> 
M 1 378 <0,23,4> 
M 1 379 <0,23,5> 
M 1 382 <0,23,6> 
M 1 387 <0,23,7> 
M 1 388 <0,23,8> 
M 1 391 <0,23,9> 
M 1 395 <0,23,10> 
M 1 396 <0,23,11> 
M 1 399 <0,23,12> 
M 1 401 <0,23,13> 
M 1 420 <0,23,14> 
M 1 992 <0,23,15> 
M 1 442 <0,23,16> 
M 1 185 <0,23,17> 
M 1 65 <0,23,18> 
M 1 97 <0,23,19> 
M 1 222 <0,23,20> 
M 1 71 <0,23,21> 
E <0,5> 
G <0,5> 
W 1 53 <1,26,28> 
W 1 22 <1,26,29> 
W 1 181 <0,23,22> 
W 1 0 <0,23,23> 
W 1 3 <1,26,30> 
S <1,26> Used 
S <1,1> Active1 
W 1 1 <1,1,0> 
B <1,24> 
M 1 276 <1,1,1> 
M 1 412 <1,1,2> 
M 1 826 <1,1,3> 
M 1 383 <1,1,4> 
M 1 135 <1,1,5> 
M 1 483 <1,1,6> 
M 1 423 <1,1,7> 
M 1 334 <1,1,8> 
M 1 260 <1,1,9> 
M 1 1080 <1,1,10> 
M 1 284 <1,1,11> 
M 1 986 <1,1,12> 
M 1 408 <1,1,13> 
M 1 218 <1,1,14> 
M 1 567 <1,1,15> 
M 1 250 <1,1,16> 
M 1 656 <1,1,17> 
M 1 160 <1,1,18> 
M 1 72 <1,1,19> 
M 1 95 <1,1,20> 
M 1 939 <1,1,21> 
M 1 41 <1,1,22> 
E <1,24> 
G <1,24> 
W 1 442 <0,23,24> 
W 1 38 <0,23,25> 
W 1 315 <0,23,26> 
W 1 994 <0,23,27> 
W 1 26 <0,23,28> 
W 1 111 <0,23,29> 
W 1 64 <1,1,23> 
W 1 110 <1,1,24> 
W 1 0 <1,1,25> 
W 1 3 <0,23,30> 
S <0,23> Used 
W 1 1 <1,1,26> 
W 1 13 <1,1,27> 
S <0,30> Active1 
W 1 1145 <0,30,0> 
B <0,24> 
M 1 989 <0,30,1> 
M 1 290 <0,30,2> 
M 1 542 <0,30,3> 
M 1 190 <0,30,4> 
M 1 211 <0,30,5> 
M 1 212 <0,30,6> 
M 1 213 <0,30,7> 
M 1 99 <0,30,8> 
M 1 394 <0,30,9> 
M 1 127 <0,30,10> 
M 1 1151 <0,30,11> 
M 1 173 <0,30,12> 
M 1 169 <0,30,13> 
M 1 665 <0,30,14> 
M 1 547 <0,30,15> 
M 1 967 <0,30,16> 
M 1 1018 <0,30,17> 
M 1 225 <0,30,18> 
M 1 492 <0,30,19> 
M 1 471 <0,30,20> 
E <0,24> 
G <0,24> 
W 1 2 <1,1,28> 
W 1 1 <1,1,29> 
W 1 13 <0,30,21> 
W 1 1 <0,30,22> 
W 1 0 <1,1,30> 
S <1,1> Used 
S <1,12> Active1 
W 1 7 <1,12,0> 
B <1,13> 
M 1 1144 <1,12,1> 
M 1 133 <1,12,2> 
M 1 699 <1,12,3> 
M 1 143 <1,12,4> 
M 1 999 <1,12,5> 
M 1 545 <1,12,6> 
M 1 1132 <1,12,7> 
M 1 987 <1,12,8> 
M 1 1130 <1,12,9> 
M 1 501 <1,12,10> 
M 1 616 <1,12,11> 
M 1 398 <1,12,12> 
M 1 241 <1,12,13> 
M 1 911 <1,12,14> 
M 1 140 <1,12,15> 
M 1 995 <1,12,16> 
M 1 795 <1,12,17> 
M 1 120 <1,12,18> 
M 1 377 <1,12,19> 
M 1 1038 <1,12,20> 
M 1 25 <1,12,21> 
E <1,13> 
G <1,13> 
W 1 14 <1,12,22> 
W 1 102 <1,12,23> 
W 1 18 <1,12,24> 
W 1 5 <1,12,25> 
W 1 71 <1,12,26> 
W 1 10 <1,12,27> 
W 1 187 <0,30,23> 
W 1 20 <0,30,24> 
W 1 13 <0,30,25> 
W 1 77 <0,30,26> 
W 1 42 <0,30,27> 
W 1 0 <1,12,28> 
W 1 15 <0,30,28> 
W 1 19 <1,12,29> 
W 1 56 <0,30,29> 
W 1 62 <1,12,30> 
S <1,12> Used 
S <1,13> Active1 
W 1 20 <1,13,0> 
B <1,30> 
M 1 642 <1,13,1> 
M 1 123 <1,13,2> 
M 1 833 <1,13,3> 
M 1 424 <1,13,4> 
M 1 268 <1,13,5> 
M 1 756 <1,13,6> 
M 1 174 <1,13,7> 
M 1 480 <1,13,8> 
M 1 474 <1,13,9> 
M 1 768 <1,13,10> 
M 1 92 <1,13,11> 
M 1 158 <1,13,12> 
M 1 253 <1,13,13> 
M 1 57 <1,13,14> 
M 1 36 <1,13,15> 
M 1 132 <1,13,16> 
M 1 51 <1,13,17> 
M 1 1052 <1,13,18> 
M 1 109 <1,13,19> 
M 1 34 <1,13,20> 
M 1 35 <1,13,21> 
E <1,30> 
G <1,30> 
W 1 969 <0,30,30> 
S <0,30> Used 
S <0,5> Active1 
W 1 2 <0,5,0> 
B <0,2> 
M 1 621 <0,5,1> 
M 1 623 <0,5,2> 
M 1 624 <0,5,3> 
M 1 625 <0,5,4> 
M 1 626 <0,5,5> 
M 1 627 <0,5,6> 
M 1 630 <0,5,7> 
M 1 631 <0,5,8> 
M 1 635 <0,5,9> 
M 1 636 <0,5,10> 
M 1 637 <0,5,11> 
M 1 640 <0,5,12> 
M 1 644 <0,5,13> 
M 1 646 <0,5,14> 
M 1 648 <0,5,15> 
M 1 649 <0,5,16> 
M 1 465 <0,5,17> 
M 1 75 <0,5,18> 
M 1 719 <0,5,19> 
M 1 498 <0,5,20> 
E <0,2> 
G <0,2> 
W 1 1 <1,13,22> 
W 1 28 <1,13,23> 
W 1 14 <0,5,21> 
W 1 1020 <0,5,22> 
W 1 1119 <1,13,24> 
W 1 14 <1,13,25> 
W 1 294 <0,5,23> 
W 1 94 <0,5,24> 
W 1 33 <1,13,26> 
W 1 2 <1,13,27> 
W 1 5 <0,5,25> 
W 1 225 <0,5,26> 
W 1 747 <0,5,27> 
W 1 1 <1,13,28> 
W 1 0 <0,5,28> 
W 1 1 <1,13,29> 
W 1 5 <1,13,30> 
S <1,13> Used 
W 1 151 <0,5,29> 
S <1,22> Active1 
W 1 6 <1,22,0> 
B <1,9> 
M 1 299 <1,22,1> 
M 1 892 <1,22,2> 
M 1 619 <1,22,3> 
M 1 436 <1,22,4> 
M 1 368 <1,22,5> 
M 1 263 <1,22,6> 
M 1 518 <1,22,7> 
M 1 890 <1,22,8> 
M 1 499 <1,22,9> 
M 1 128 <1,22,10> 
M 1 407 <1,22,11> 
M 1 716 <1,22,12> 
M 1 883 <1,22,13> 
M 1 570 <1,22,14> 
M 1 148 <1,22,15> 
M 1 96 <1,22,16> 
M 1 188 <1,22,17> 
M 1 647 <1,22,18> 
M 1 385 <1,22,19> 
M 1 859 <1,22,20> 
M 1 54 <1,22,21> 
E <1,9> 
G <1,9> 
W 1 23 <0,5,30> 
S <0,5> Used 
S <0,12> Active1 
W 1 1095 <0,12,0> 
B <0,16> 
M 1 996 <0,12,1> 
M 1 998 <0,12,2> 
M 1 1000 <0,12,3> 
M 1 1001 <0,12,4> 
M 1 1002 <0,12,5> 
M 1 1003 <0,12,6> 
M 1 1004 <0,12,7> 
M 1 1005 <0,12,8> 
M 1 1006 <0,12,9> 
M 1 1008 <0,12,10> 
M 1 1009 <0,12,11> 
M 1 1010 <0,12,12> 
M 1 1011 <0,12,13> 
M 1 1012 <0,12,14> 
M 1 1014 <0,12,15> 
M 1 1015 <0,12,16> 
M 1 1016 <0,12,17> 
M 1 1017 <0,12,18> 
M 1 1019 <0,12,19> 
M 1 1021 <0,12,20> 
M 1 1022 <0,12,21> 
E <0,16> 
G <0,16> 
W 1 197 <1,22,22> 
W 1 16 <1,22,23> 
W 1 0 <0,12,22> 
W 1 87 <0,12,23> 
W 1 85 <1,22,24> 
W 1 1 <1,22,25> 
W 1 0 <0,12,24> 
W 1 3 <0,12,25> 
W 1 218 <0,12,26> 
W 1 31 <0,12,27> 
W 1 16 <1,22,26> 
W 1 31 <1,22,27> 
W 1 1 <0,12,28> 
W 1 82 <1,22,28> 
W 1 52 <0,12,29> 
W 1 1 <1,22,29> 
W 1 338 <0,12,30> 
S <0,12> Used 
S <0,16> Active1 
W 1 613 <0,16,0> 
B <0,9> 
M 1 984 <0,16,1> 
M 1 500 <0,16,2> 
M 1 633 <0,16,3> 
M 1 516 <0,16,4> 
M 1 1105 <0,16,5> 
M 1 985 <0,16,6> 
M 1 603 <0,16,7> 
M 1 1120 <0,16,8> 
M 1 1049 <0,16,9> 
M 1 495 <0,16,10> 
M 1 1085 <0,16,11> 
M 1 843 <0,16,12> 
M 1 115 <0,16,13> 
M 1 562 <0,16,14> 
M 1 763 <0,16,15> 
M 1 100 <0,16,16> 
M 1 475 <0,16,17> 
M 1 292 <0,16,18> 
M 1 167 <0,16,19> 
M 1 162 <0,16,20> 
M 1 709 <0,16,21> 
E <0,9> 
G <0,9> 
W 1 56 <1,22,30> 
S <1,22> Used 
S <1,24> Active1 
W 1 126 <1,24,0> 
B <1,7> 
M 1 335 <1,24,1> 
M 1 755 <1,24,2> 
M 1 355 <1,24,3> 
M 1 449 <1,24,4> 
M 1 249 <1,24,5> 
M 1 905 <1,24,6> 
M 1 392 <1,24,7> 
M 1 674 <1,24,8> 
M 1 706 <1,24,9> 
M 1 993 <1,24,10> 
M 1 950 <1,24,11> 
M 1 203 <1,24,12> 
M 1 347 <1,24,13> 
M 1 122 <1,24,14> 
M 1 530 <1,24,15> 
M 1 118 <1,24,16> 
M 1 402 <1,24,17> 
M 1 49 <1,24,18> 
M 1 841 <1,24,19> 
M 1 419 <1,24,20> 
E <1,7> 
G <1,7> 
W 1 2 <0,16,22> 
W 1 0 <0,16,23> 
W 1 23 <1,24,21> 
W 1 9 <1,24,22> 
W 1 119 <0,16,24> 
W 1 362 <0,16,25> 
W 1 12 <1,24,23> 
W 1 3 <1,24,24> 
W 1 559 <0,16,26> 
W 1 2 <0,16,27> 
W 1 1 <0,16,28> 
W 1 199 <0,16,29> 
W 1 669 <1,24,25> 
W 1 288 <0,16,30> 
S <0,16> Used 
W 1 40 <1,24,26> 
W 1 37 <1,24,27> 
S <0,24> Active1 
W 1 22 <0,24,0> 
B <0,3> 
M 1 496 <0,24,1> 
M 1 497 <0,24,2> 
M 1 505 <0,24,3> 
M 1 506 <0,24,4> 
M 1 507 <0,24,5> 
M 1 508 <0,24,6> 
M 1 509 <0,24,7> 
M 1 511 <0,24,8> 
M 1 512 <0,24,9> 
M 1 513 <0,24,10> 
M 1 514 <0,24,11> 
M 1 515 <0,24,12> 
M 1 519 <0,24,13> 
M 1 520 <0,24,14> 
M 1 521 <0,24,15> 
M 1 522 <0,24,16> 
M 1 525 <0,24,17> 
M 1 529 <0,24,18> 
M 1 628 <0,24,19> 
M 1 296 <0,24,20> 
M 1 113 <0,24,21> 
E <0,3> 
G <0,3> 
W 1 0 <1,24,28> 
W 1 32 <1,24,29> 
W 1 225 <0,24,22> 
W 1 52 <0,24,23> 
W 1 627 <1,24,30> 
S <1,24> Used 
S <1,30> Active1 
W 1 1 <1,30,0> 
B <1,6> 
M 1 219 <1,30,1> 
M 1 220 <1,30,2> 
M 1 223 <1,30,3> 
M 1 234 <1,30,4> 
M 1 236 <1,30,5> 
M 1 238 <1,30,6> 
M 1 240 <1,30,7> 
M 1 242 <1,30,8> 
M 1 678 <1,30,9> 
M 1 551 <1,30,10> 
M 1 86 <1,30,11> 
M 1 303 <1,30,12> 
M 1 365 <1,30,13> 
M 1 397 <1,30,14> 
M 1 634 <1,30,15> 
M 1 258 <1,30,16> 
M 1 1078 <1,30,17> 
M 1 112 <1,30,18> 
M 1 150 <1,30,19> 
M 1 549 <1,30,20> 
E <1,6> 
G <1,6> 
W 1 0 <0,24,24> 
W 1 138 <0,24,25> 
W 1 27 <1,30,21> 
W 1 12 <1,30,22> 
W 1 0 <0,24,26> 
W 1 0 <0,24,27> 
W 1 0 <0,24,28> 
W 1 0 <0,24,29> 
W 1 0 <0,24,30> 
S <0,24> Used 
S <0,2> Active1 
W 1 1006 <0,2,0> 
B <0,22> 
M 1 437 <0,2,1> 
M 1 441 <0,2,2> 
M 1 447 <0,2,3> 
M 1 451 <0,2,4> 
M 1 452 <0,2,5> 
M 1 453 <0,2,6> 
M 1 454 <0,2,7> 
M 1 455 <0,2,8> 
M 1 456 <0,2,9> 
M 1 457 <0,2,10> 
M 1 458 <0,2,11> 
M 1 459 <0,2,12> 
M 1 461 <0,2,13> 
M 1 462 <0,2,14> 
M 1 463 <0,2,15> 
M 1 245 <0,2,16> 
M 1 727 <0,2,17> 
M 1 936 <0,2,18> 
M 1 440 <0,2,19> 
M 1 295 <0,2,20> 
M 1 605 <0,2,21> 
E <0,22> 
G <0,22> 
W 1 10 <0,2,22> 
W 1 3 <0,2,23> 
W 1 0 <1,30,23> 
W 1 8 <1,30,24> 
W 1 13 <0,2,24> 
W 1 303 <0,2,25> 
W 1 759 <1,30,25> 
W 1 5 <0,2,26> 
W 1 35 <1,30,26> 
W 1 6 <1,30,27> 
W 1 542 <1,30,28> 
W 1 78 <0,2,27> 
W 1 32 <1,30,29> 
W 1 9 <0,2,28> 
W 1 2 <1,30,30> 
S <1,30> Used 
W 1 1 <0,2,29> 
S <1,6> Active1 
W 1 617 <1,6,0> 
B <1,4> 
M 1 590 <1,6,1> 
M 1 592 <1,6,2> 
M 1 593 <1,6,3> 
M 1 598 <1,6,4> 
M 1 599 <1,6,5> 
M 1 600 <1,6,6> 
M 1 602 <1,6,7> 
M 1 604 <1,6,8> 
M 1 606 <1,6,9> 
M 1 607 <1,6,10> 
M 1 608 <1,6,11> 
M 1 610 <1,6,12> 
M 1 611 <1,6,13> 
M 1 612 <1,6,14> 
M 1 614 <1,6,15> 
M 1 618 <1,6,16> 
M 1 354 <1,6,17> 
M 1 785 <1,6,18> 
M 1 414 <1,6,19> 
M 1 847 <1,6,20> 
E <1,4> 
G <1,4> 
W 1 0 <1,6,21> 
W 1 2 <1,6,22> 
W 1 58 <1,6,23> 
W 1 2 <1,6,24> 
W 1 43 <0,2,30> 
S <0,2> Used 
S <0,3> Active1 
W 1 1 <0,3,0> 
B <0,6> 
M 1 577 <0,3,1> 
M 1 1195 <0,3,2> 
M 1 510 <0,3,3> 
M 1 978 <0,3,4> 
M 1 343 <0,3,5> 
M 1 337 <0,3,6> 
M 1 828 <0,3,7> 
M 1 900 <0,3,8> 
M 1 90 <0,3,9> 
M 1 975 <0,3,10> 
M 1 813 <0,3,11> 
M 1 141 <0,3,12> 
M 1 654 <0,3,13> 
M 1 976 <0,3,14> 
M 1 214 <0,3,15> 
M 1 154 <0,3,16> 
M 1 265 <0,3,17> 
M 1 50 <0,3,18> 
M 1 70 <0,3,19> 
M 1 686 <0,3,20> 
M 1 526 <0,3,21> 
E <0,6> 
G <0,6> 
W 1 13 <1,6,25> 
W 1 1 <1,6,26> 
W 1 71 <0,3,22> 
W 1 222 <0,3,23> 
W 1 116 <1,6,27> 
W 1 0 <1,6,28> 
W 1 3 <0,3,24> 
W 1 34 <0,3,25> 
W 1 329 <1,6,29> 
W 1 19 <1,6,30> 
S <1,6> Used 
S <1,7> Active1 
W 1 78 <1,7,0> 
B <1,0> 
M 1 330 <1,7,1> 
M 1 152 <1,7,2> 
M 1 730 <1,7,3> 
M 1 81 <1,7,4> 
M 1 1158 <1,7,5> 
M 1 536 <1,7,6> 
M 1 622 <1,7,7> 
M 1 469 <1,7,8> 
M 1 405 <1,7,9> 
M 1 879 <1,7,10> 
M 1 1180 <1,7,11> 
M 1 947 <1,7,12> 
M 1 269 <1,7,13> 
M 1 45 <1,7,14> 
M 1 1092 <1,7,15> 
M 1 91 <1,7,16> 
M 1 488 <1,7,17> 
M 1 134 <1,7,18> 
M 1 79 <1,7,19> 
E <1,0> 
G <1,0> 
W 1 915 <0,3,26> 
W 1 150 <0,3,27> 
W 1 594 <1,7,20> 
W 1 6 <1,7,21> 
W 1 44 <1,7,22> 
W 1 917 <1,7,23> 
W 1 908 <0,3,28> 
W 1 52 <1,7,24> 
W 1 75 <0,3,29> 
W 1 0 <1,7,25> 
W 1 24 <0,3,30> 
S <0,3> Used 
W 1 38 <1,7,26> 
S <0,6> Active1 
W 1 174 <0,6,0> 
B <0,7> 
M 1 172 <0,6,1> 
M 1 655 <0,6,2> 
M 1 193 <0,6,3> 
M 1 677 <0,6,4> 
M 1 208 <0,6,5> 
M 1 129 <0,6,6> 
M 1 328 <0,6,7> 
M 1 375 <0,6,8> 
M 1 364 <0,6,9> 
M 1 464 <0,6,10> 
M 1 524 <0,6,11> 
M 1 1046 <0,6,12> 
M 1 553 <0,6,13> 
M 1 93 <0,6,14> 
M 1 722 <0,6,15> 
M 1 182 <0,6,16> 
M 1 121 <0,6,17> 
M 1 205 <0,6,18> 
M 1 272 <0,6,19> 
M 1 285 <0,6,20> 
M 1 105 <0,6,21> 
E <0,7> 
G <0,7> 
W 1 4 <1,7,27> 
W 1 10 <1,7,28> 
W 1 24 <0,6,22> 
W 1 16 <0,6,23> 
W 1 5 <1,7,29> 
W 1 690 <1,7,30> 
S <1,7> Used 
W 1 0 <0,6,24> 
S <1,9> Active1 
W 1 5 <1,9,0> 
B <1,23> 
M 1 161 <1,9,1> 
M 1 321 <1,9,2> 
M 1 930 <1,9,3> 
M 1 788 <1,9,4> 
M 1 1188 <1,9,5> 
M 1 74 <1,9,6> 
M 1 554 <1,9,7> 
M 1 386 <1,9,8> 
M 1 237 <1,9,9> 
M 1 192 <1,9,10> 
M 1 308 <1,9,11> 
M 1 107 <1,9,12> 
M 1 153 <1,9,13> 
M 1 1036 <1,9,14> 
M 1 421 <1,9,15> 
M 1 445 <1,9,16> 
M 1 239 <1,9,17> 
M 1 316 <1,9,18> 
M 1 460 <1,9,19> 
M 1 800 <1,9,20> 
E <1,23> 
G <1,23> 
W 1 180 <0,6,25> 
W 1 1056 <0,6,26> 
W 1 14 <1,9,21> 
W 1 0 <1,9,22> 
W 1 0 <0,6,27> 
W 1 436 <0,6,28> 
W 1 17 <1,9,23> 
W 1 20 <1,9,24> 
W 1 15 <1,9,25> 
W 1 7 <1,9,26> 
W 1 97 <1,9,27> 
W 1 0 <0,6,29> 
W 1 38 <1,9,28> 
W 1 5 <0,6,30> 
S <0,6> Used 
W 1 12 <1,9,29> 
W 1 226 <1,9,30> 
S <1,9> Used 
S <1,23> Active1 
W 1 24 <1,23,0> 
B <1,2> 
M 1 279 <1,23,1> 
M 1 281 <1,23,2> 
M 1 282 <1,23,3> 
M 1 289 <1,23,4> 
M 1 298 <1,23,5> 
M 1 302 <1,23,6> 
M 1 305 <1,23,7> 
M 1 361 <1,23,8> 
M 1 155 <1,23,9> 
M 1 1045 <1,23,10> 
M 1 684 <1,23,11> 
M 1 157 <1,23,12> 
M 1 159 <1,23,13> 
M 1 356 <1,23,14> 
M 1 585 <1,23,15> 
M 1 108 <1,23,16> 
M 1 104 <1,23,17> 
M 1 11 <1,23,18> 
E <1,2> 
G <1,2> 
S <0,7> Active1 
W 1 34 <0,7,0> 
W 1 4 <0,7,1> 
B <0,0> 
M 1 558 <0,7,2> 
M 1 560 <0,7,3> 
M 1 563 <0,7,4> 
M 1 568 <0,7,5> 
M 1 569 <0,7,6> 
M 1 573 <0,7,7> 
M 1 575 <0,7,8> 
M 1 576 <0,7,9> 
M 1 578 <0,7,10> 
M 1 579 <0,7,11> 
M 1 580 <0,7,12> 
M 1 581 <0,7,13> 
M 1 582 <0,7,14> 
M 1 583 <0,7,15> 
M 1 584 <0,7,16> 
M 1 587 <0,7,17> 
M 1 588 <0,7,18> 
M 1 752 <0,7,19> 
M 1 886 <0,7,20> 
M 1 808 <0,7,21> 
M 1 266 <0,7,22> 
E <0,0> 
G <0,0> 
W 1 39 <1,23,19> 
W 1 421 <1,23,20> 
W 1 9 <0,7,23> 
W 1 6 <0,7,24> 
W 1 1 <1,23,21> 
W 1 430 <1,23,22> 
W 1 1094 <1,23,23> 
W 1 0 <1,23,24> 
W 1 4 <0,7,25> 
W 1 0 <0,7,26> 
W 1 47 <1,23,25> 
W 1 443 <0,7,27> 
W 1 64 <1,23,26> 
W 1 0 <0,7,28> 
W 1 266 <1,23,27> 
W 1 599 <0,7,29> 
W 1 1020 <1,23,28> 
W 1 186 <0,7,30> 
S <0,7> Used 
S <0,9> Active1 
W 1 2 <0,9,0> 
B <0,4> 
M 1 230 <0,9,1> 
M 1 271 <0,9,2> 
M 1 252 <0,9,3> 
M 1 257 <0,9,4> 
M 1 267 <0,9,5> 
M 1 273 <0,9,6> 
M 1 278 <0,9,7> 
M 1 1086 <0,9,8> 
M 1 502 <0,9,9> 
M 1 955 <0,9,10> 
M 1 931 <0,9,11> 
M 1 350 <0,9,12> 
M 1 327 <0,9,13> 
M 1 1013 <0,9,14> 
M 1 1068 <0,9,15> 
M 1 596 <0,9,16> 
M 1 799 <0,9,17> 
M 1 708 <0,9,18> 
M 1 309 <0,9,19> 
M 1 737 <0,9,20> 
M 1 812 <0,9,21> 
E <0,4> 
G <0,4> 
W 1 377 <1,23,29> 
W 1 1 <1,23,30> 
S <1,23> Used 
W 1 1158 <0,9,22> 
W 1 91 <0,9,23> 
S <1,0> Active1 
W 1 7 <1,0,0> 
W 1 209 <1,0,1> 
B <1,17> 
M 1 1090 <1,0,2> 
M 1 1091 <1,0,3> 
M 1 1096 <1,0,4> 
M 1 1097 <1,0,5> 
M 1 1098 <1,0,6> 
M 1 1099 <1,0,7> 
M 1 1100 <1,0,8> 
M 1 1101 <1,0,9> 
M 1 1102 <1,0,10> 
M 1 1103 <1,0,11> 
M 1 1104 <1,0,12> 
M 1 1106 <1,0,13> 
M 1 1107 <1,0,14> 
M 1 1109 <1,0,15> 
M 1 1110 <1,0,16> 
M 1 1111 <1,0,17> 
M 1 1112 <1,0,18> 
M 1 1113 <1,0,19> 
M 1 1114 <1,0,20> 
M 1 1115 <1,0,21> 
E <1,17> 
G <1,17> 
W 1 2 <1,0,22> 
W 1 39 <1,0,23> 
W 1 37 <1,0,24> 
W 1 5 <1,0,25> 
W 1 0 <0,9,24> 
W 1 39 <0,9,25> 
W 1 2 <1,0,26> 
W 1 11 <1,0,27> 
W 1 699 <1,0,28> 
W 1 1 <1,0,29> 
W 1 24 <1,0,30> 
S <1,0> Used 
S <1,2> Active1 
W 1 0 <1,2,0> 
B <1,13> 
M 1 642 <1,2,1> 
M 1 123 <1,2,2> 
M 1 833 <1,2,3> 
M 1 424 <1,2,4> 
M 1 268 <1,2,5> 
M 1 756 <1,2,6> 
M 1 480 <1,2,7> 
M 1 474 <1,2,8> 
M 1 768 <1,2,9> 
M 1 92 <1,2,10> 
M 1 158 <1,2,11> 
M 1 253 <1,2,12> 
M 1 57 <1,2,13> 
M 1 36 <1,2,14> 
M 1 132 <1,2,15> 
M 1 51 <1,2,16> 
M 1 1052 <1,2,17> 
M 1 109 <1,2,18> 
M 1 28 <1,2,19> 
M 1 1119 <1,2,20> 
M 1 33 <1,2,21> 
E <1,13> 
G <1,13> 
W 1 8 <0,9,26> 
W 1 45 <0,9,27> 
W 1 183 <1,2,22> 
W 1 9 <1,2,23> 
W 1 103 <1,2,24> 
W 1 0 <1,2,25> 
W 1 16 <1,2,26> 
W 1 674 <0,9,28> 
W 1 38 <1,2,27> 
W 1 670 <1,2,28> 
W 1 140 <1,2,29> 
W 1 92 <1,2,30> 
S <1,2> Used 
S <1,4> Active1 
W 1 119 <1,4,0> 
B <1,12> 
M 1 1144 <1,4,1> 
M 1 133 <1,4,2> 
M 1 143 <1,4,3> 
M 1 999 <1,4,4> 
M 1 545 <1,4,5> 
M 1 1132 <1,4,6> 
M 1 987 <1,4,7> 
M 1 1130 <1,4,8> 
M 1 501 <1,4,9> 
M 1 616 <1,4,10> 
M 1 398 <1,4,11> 
M 1 241 <1,4,12> 
M 1 911 <1,4,13> 
M 1 995 <1,4,14> 
M 1 795 <1,4,15> 
M 1 120 <1,4,16> 
M 1 1038 <1,4,17> 
M 1 25 <1,4,18> 
M 1 102 <1,4,19> 
M 1 18 <1,4,20> 
M 1 62 <1,4,21> 
E <1,12> 
G <1,12> 
W 1 0 <0,9,29> 
W 1 229 <0,9,30> 
S <0,9> Used 
W 1 3 <1,4,22> 
W 1 405 <1,4,23> 
S <0,22> Active1 
W 1 1 <0,22,0> 
W 1 239 <0,22,1> 
B <0,17> 
M 1 875 <0,22,2> 
M 1 682 <0,22,3> 
M 1 683 <0,22,4> 
M 1 685 <0,22,5> 
M 1 687 <0,22,6> 
M 1 688 <0,22,7> 
M 1 689 <0,22,8> 
M 1 691 <0,22,9> 
M 1 692 <0,22,10> 
M 1 698 <0,22,11> 
M 1 702 <0,22,12> 
M 1 705 <0,22,13> 
M 1 712 <0,22,14> 
M 1 275 <0,22,15> 
M 1 694 <0,22,16> 
M 1 261 <0,22,17> 
M 1 438 <0,22,18> 
M 1 311 <0,22,19> 
M 1 898 <0,22,20> 
M 1 195 <0,22,21> 
M 1 403 <0,22,22> 
E <0,17> 
G <0,17> 
W 1 0 <1,4,24> 
W 1 18 <1,4,25> 
W 1 176 <1,4,26> 
W 1 26 <1,4,27> 
W 1 0 <0,22,23> 
W 1 27 <0,22,24> 
W 1 59 <1,4,28> 
W 1 0 <1,4,29> 
W 1 4 <1,4,30> 
S <1,4> Used 
W 1 15 <0,22,25> 
S <1,12> Active1 
W 1 1 <1,12,0> 
B <1,29> 
M 1 615 <1,12,1> 
M 1 344 <1,12,2> 
M 1 345 <1,12,3> 
M 1 348 <1,12,4> 
M 1 351 <1,12,5> 
M 1 352 <1,12,6> 
M 1 353 <1,12,7> 
M 1 358 <1,12,8> 
